CID,Compound_Name,Source,Binding Affinity
73145,Beta-Amyrin,Karpooravalli,-12.3
21718037,Eudesmol,Ajwain,-8.7
534398,Isoaromadendrene epoxide,Karpooravalli,-8.2
11095734,Aromadendrene,Ajwain,-8
11095734,Aromadendrene,Karpooravalli,-8
5280704,Apigenin-7-O-glucoside,Ajwain,-7.6
12309449,Elemene,Ajwain,-7.5
74315888,kaempferol-3-O-glucuronide,Ajwain,-7.2
5280445,Luteolin,Ajwain,-7
443470,Abietadiene,Ajwain,-6.9
136413,Dibenzamide,Karpooravalli,-6.8
443613,Palustric acid,Karpooravalli,-6.8
10910653,Ledene,Karpooravalli,-6.8
6432170,"5,15-Rosadiene",Karpooravalli,-6.8
5274585,Quercetin-3-O-glucuronide,Ajwain,-6.8
12314971,Rimuene,Ajwain,-6.7
5281792,Rosmarinic acid,Ajwain,-6.6
10550,Thujanol,Ajwain,-6.6
443469,Sandaracopimaradiene,Ajwain,-6.6
10569,Abietic acid,Karpooravalli,-6.6
11106485,Beta-Cedrene,Karpooravalli,-6.1
70678558,Alpha-Copaene,Karpooravalli,-6.1
163184238,Delta-Gurjunene,Karpooravalli,-6.1
